query,cache,tier,latency_sec
Can I apply to MA in English if my bachelor's degree is from a different discipline or my CGPA is slightly below the preferred level?,exact,cache,0.018537044525146484
MSc in Artificial Intelligence and Machine Learning e scholarship advising course waiver thesis supervision ebong graduation requirement kibhabe kaj kore?,exact,cache,0.01842331886291504
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি ইংরেজিতে বিএ প্রোগ্রামে আবেদন করতে পারব?,exact,cache,0.01875448226928711
"আর্টিফিশিয়াল ইন্টেলিজেন্স অ্যান্ড মেশিন লার্নিংয়ে এমএসসি প্রোগ্রামে বৃত্তি, পরামর্শ, কোর্স মওকুফ, থিসিস তত্ত্বাবধান এবং স্নাতক সমাপ্তির শর্ত কীভাবে কাজ করে?",exact,cache,0.019946575164794922
"How do scholarship, advising, course registration, retakes, and internships work for a student in BA in English?",exact,cache,0.015849828720092773
মাস্টার অব লজ (এলএলএম) প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,exact,cache,0.017767906188964844
"Does psychological counseling apply to all students, or only to certain groups?",exact,cache,0.015606164932250977
I cannot find a required course during registration for Bachelor of Business Administration (BBA); what should I do and whom should I contact?,exact,cache,0.01548457145690918
MA in Teaching English to Speakers of Other Languages TESOL e scholarship advising course waiver thesis supervision ebong graduation requirement kibhabe kaj kore?,exact,cache,0.018388748168945312
Can I apply to M. Pharm in Clinical Pharmacy and Molecular Pharmacology if my bachelor's degree is from a different discipline or my CGPA is slightly below the preferred level?,exact,cache,0.018555879592895508
amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSS in Information Studies e apply korte parbo?,exact,cache,0.015695571899414062
আমার ব্যাচেলর ডিগ্রি অন্য বিষয়ে হলে বা সিজিপিএ পছন্দসই মাত্রার একটু নিচে হলে কি কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিংয়ে মাস্টার অব সায়েন্স (এমএস ইন সিএসই) প্রোগ্রামে আবেদন করতে পারব?,exact,cache,0.021631956100463867
"বিভাগীয় চেয়ারপারসন কি সব শিক্ষার্থীর ক্ষেত্রে প্রযোজ্য, নাকি শুধু নির্দিষ্ট কিছু শিক্ষার্থীর জন্য?",exact,cache,0.01588749885559082
আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি জেনেটিক ইঞ্জিনিয়ারিং অ্যান্ড বায়োটেকনোলজিতে বিএসসি (জিইবি) প্রোগ্রামে আবেদন করতে পারব?,exact,cache,0.019550085067749023
