idx,query,answer,tier,escalated,router_probability,latency_sec
10,I cannot find a required course during registration for B.Sc. in Computer Science and Engineering (CSE); what should I do and whom should I contact?,"PresentationTanni Mittra, Md. Pizuar Hossain, Md. Mehedi Hasan, Md. Mohsin Uddin, Md. Mehedi Hasan, Md. Mohsin Uddin, Md. Mehedi Hasan, Md. Mohsin Uddin, Md. Mehedi Hasan, Md. Mohsin Uddin, Md. Mehedi Hasan, Md. Mohsin Uddin, Md. Mehedi Hasan, Md. Mohsin Uddin, Md. Mehedi Hasan, Md. Mohsin Uddin, Md. Mehedi Hasan, Md. Mohsin Uddin, Md. Mehedi Hasan, Md. Mohsin Uddin, Md. Mehedi Hasan, Md. Mohsin Uddin, Md. Mehedi Hasan, Md. Mohsin Uddin, Md. Mehedi Hasan, Md. Mohsin Uddin, Md. Mehedi Hasan, Md. Mohsin Uddin, Md. Meh",llm,True,0.5532247055684429,25.463685035705566
11,"Does O-Level, A-Level, and foreign-curriculum equivalence apply to all students, or only to certain groups?","The rule applies to foreign students particularly who come from other systems such as US High School Diploma or Indian/Nepalese system etc., and those with non-SSC/HSC/A-Level systems. It does not apply to domestic students or those from standard SSC/HSC/A-Level systems. The rest apply to all students regardless of their curriculum type. Both the equivalent test score and the regular test score contribute to the final selection criteria. Additionally, it specifies that foreign students may not require the admission test if they satisfy the eligibility criteria through their previous educational system. All students must achieve a minimum of 5.00 in total GPA in",slm,False,0.4951468314933975,1.2874603271484375e-05
12,আর্টিফিশিয়াল ইন্টেলিজেন্স অ্যান্ড মেশিন লার্নিংয়ে এমএসসি প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,প্রোগ্রামটি স্পষ্টভাবে বিবেচনা করে যে শিক্ষার্থীদের তাদের নিজের বিশ্বব্যাপী বিশ্ববিদ্যালয়ের সাথে সংশ্লিষ্ট হওয়া প্রয়োজন।,llm,True,0.5890602445657748,16.328871965408325
13,Am I eligible for B.Sc. in Civil Engineering if my grades meet the minimum overall requirement but one required subject grade is lower?,"No, you must have a minimum GPA of 4.0 in all your required subjects to be eligible.",llm,True,0.5073194890483744,3.689903974533081
14,ইংরেজিতে এমএ প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে শিক্ষার্থীদের অনলাইন ভর্তি ফর্ম দিয়ে আবেদন করতে হবে।,llm,True,0.6031763705773965,14.143833875656128
15,"How do scholarship, advising, course registration, retakes, and internships work for a student in B.Sc. in Civil Engineering?","2nd International Conference on Seismic Hazards and Mitigation in Asia, Dhaka-1000, BangladeshTalukder, M. K. (2015). Finite Element Analysis of Reinforced Concrete Beam Strengthened with Flexural Steels and Steel Key. 1st International Conference on Geospatial Technologies in the 21st Century, Bangladesh University of Business and Technology, Savar, Dhaka. Research Grant AwardedTalukder, M. K.(2020). Seismic Site Effects for the Island of Montreal, NSERC USARF 317",slm,False,0.4885908075907674,1.1920928955078125e-05
16,"How do scholarship, advising, course registration, retakes, and internships work for a student in Bachelor of Pharmacy (B.Pharm.)?","his outstanding undergraduate results. He was also awarded the “Narsingdi Zilla Parishod Scholarship” for distinguished results both in HSC and SSC. Besides these, Mr. Rafi got several other scholarships and stipends during his education years.Academic Excellence Award-2020, 2021 and 2022, from East West University.Academic Excellence Award-2023 from University of Information Technology and Sciences. awards honors: Awards And Achievement

[ewu_faculty_complete.json]
faculty sections academic background: B. Pharm. from University of Rajshahi (RU)M.",slm,False,0.4950712638899107,1.1205673217773438e-05
17,amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSc in Data Science and Analytics e apply korte parbo?,"Na, application er jonno minimum GPA 3.5 required hishebe 2 distinct subjects (HSC ba A Level) er moddhe thakte hobe. Shudhumatro subject er grade lagbe. Ei waiver der impact holo admission er shorokar, karon satrigho applicant der satte kora awa jay na. 3.5 ba tar beshi GPA thake tader admitted hote hobe. 4B ar 3C der condition shposhtobhabe sathe ekta waiver ruporre newa hoyeche. T",slm,False,0.4440839924315785,9.775161743164062e-06
18,কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিংয়ে বিএসসি (সিএসই) প্রোগ্রামের প্রয়োজনীয় কোনো কোর্স নিবন্ধনের সময় না পেলে কী করব এবং কার সঙ্গে যোগাযোগ করব?,প্রয়োজনীয় কোর্স নিবন্ধনের পরীক্ষায় অংশগ্রহণ করতে হলে শিক্ষার্থীদের তাদের প্রফেসরদের সঙ্গে যোগাযোগ করতে হবে।,llm,True,0.9807791743683232,14.93799376487732
19,MA in Teaching English to Speakers of Other Languages TESOL er required course ba convenient class time na pele ki korbo?,".Bakhtin, M. (1981),The Dialogic Imagination, University of Texas Press, Austin, Texas, USA.",llm,True,0.5057973494893095,6.362056732177734
20,আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি ব্যাচেলর অব ফার্মেসি (বি ফার্ম) প্রোগ্রামে আবেদন করতে পারব?,"না, আবেদনকারীদের তাদের স্কুলিং এবং হাই স্কুলের ফল উভয়ে ন্যূনতম জিপিএ ৩.৫ থাকতে হবে।",llm,True,0.5422168159147552,11.657914400100708
21,amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSc Honours in Mathematics e apply korte parbo?,"Na, sat_waiver requirement hishebe minimum total SAT score of 1500 (Critical Reading, Math, Writing) required, ja Chemistry, Physics, Biology ar Mathematics er jonno minimum GPA 3.5 lagbe. Eta bishbobidyaloy admission er jonno mandatory. 11 theke 12 theke exam kora hobe. Sothik score kobe notification dey hobe. 2.5 GPA ba tader kom duitate subject e fail hote hobe emon tader bishbobidyaloy e apply kora jabe na",slm,False,0.4408384422765116,1.1444091796875e-05
22,Can I apply to M.Sc. in Artificial Intelligence and Machine Learning if my bachelor's degree is from a different discipline or my CGPA is slightly below the preferred level?,"of the East West University Department of CSE, East West UniversityInstitutional Coordinator for East West University Center for Research and Training, East West University. Secretary of East West University Robotics Club, East West University. Executive Committee Member of East West University Sports Club, East West University. Advisor of East West University Model United Nations Club, East West University. Member of IEEE Computer Society. Member of IEEE Region 8 Education Activities. Member of IEEE Computer Society Region 8 Education Activities. Member of IEEE Region 8 Education Activities. Member of IEEE Region 8 Education Activities. Member of IEEE Region 8 Education Activities. Member of IEEE Region",slm,False,0.4704201029349231,9.775161743164062e-06
23,আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি পপুলেশন অ্যান্ড পাবলিক হেলথ সায়েন্সেসে বিএসএস (পিপিএইচএস) প্রোগ্রামে আবেদন করতে পারব?,"না, আবেদনকারীদের তাদের স্কুলিং এবং এইচএসসি/সমমানের ফল উভয়ে ন্যূনতম জিপিএ ৮.০০ থাকতে হবে।",llm,True,0.5345127472869584,12.457026958465576
24,alumni o graduate outcome niye problem hole ar normal process kaj na korle ki korbo?,"Tader probation er jonno gothon korbe. Probation er beshorar shomoye academic dismissal hote hobe. Shposhtobhabe dui semester e probonno thakte hobe, ar tara CGPA 2.60 theke upokor kore emon shposhtobhabe dismisson hoye jay. Ei gonona byabosthaponate probonno shikkharthi der academic poramorsho porichalito hote hobe. Ditiyo semester e probonno thake emon shposht",slm,False,0.4746852299011751,1.2874603271484375e-05
25,amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki Bachelor of Pharmacy B Pharm e apply korte parbo?,"Na, scholarship calculation te aggregate score minimum 8.00 required jete pare, ar ekta subject er minimum score 3.50 thakte hobe. Ei condition shposhtobhabe total result 8.00 lagbe. 6 ta subject e 5 ta minimum 3.50 hoye thake, jekhane 1 ta subject minimum 3.00 hote pare (biology er case). Total result 8.00 lagbe tader aggregate result minimum 8.00 hote pare, ar 6 ta subject e 5 ta minimum",slm,False,0.4790946641410785,9.5367431640625e-06
26,Can I apply to MA in English if my bachelor's degree is from a different discipline or my CGPA is slightly below the preferred level?,"2022 - October 2022Teaching Assistant (Undergraduate), Department of English, Independent University, Bangladesh, September 2012- September 2014Teaching Assistant (Graduate), Department of English, Independent University, Bangladesh, September 2014- March 2015Teaching Assistant (Graduate), Department of English, University of Dhaka, Bangladesh, September 2014- March 2015Research ExperienceResearch Fellow, Project titled ‘Understanding the Dynamics between Education and Development’, funded by the Research Grants Committee (RGC) of",slm,False,0.495296368655141,9.775161743164062e-06
27,MSc in Artificial Intelligence and Machine Learning e scholarship advising course waiver thesis supervision ebong graduation requirement kibhabe kaj kore?,"-20,2024.[J2] Md Hasanul Ferdaus, Md Sawkat Ali, Mohammad Manzurul Islam, Md Al Mamun, Md Sultan Moheuddin, Md Al Hossain, Md Atiqur Rahman, Md Al Hossain, Md Al Mamun, Md Sultan Moheuddin, Md Atiqur Rahman, Md Al Hossain, Md Al Mamun, Md Sultan Moheuddin, Md Atiqur Rahman, Md Al Hossain, Md Al Mamun, Md Sultan Moheuddin, Md Atiqur Rahman, Md Al Hossain, Md Al Mamun, Md Sultan Moheuddin, Md Atiqur Rahman, Md Al Hossain, Md Al Mamun, Md Sultan Moheuddin, Md Atiqur Rahman, Md Al Hossain, Md Al Mamun, Md Sultan Moheuddin, Md Atiqur Rahman,",llm,True,0.500273977948611,25.65294599533081
28,আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি ইংরেজিতে বিএ প্রোগ্রামে আবেদন করতে পারব?,"না, স্ট্রিং ট্র্যাকিং শ্রেণীবিভাগ অনুযায়ী 'English' বিভাগের জন্য কোনো বিষয়ের ফল কম থাকলে আবেদন করা অসম্ভব।",llm,True,0.5607434195339821,13.805853366851807
29,"আর্টিফিশিয়াল ইন্টেলিজেন্স অ্যান্ড মেশিন লার্নিংয়ে এমএসসি প্রোগ্রামে বৃত্তি, পরামর্শ, কোর্স মওকুফ, থিসিস তত্ত্বাবধান এবং স্নাতক সমাপ্তির শর্ত কীভাবে কাজ করে?","প্রোগ্রামটি শুধুমাত্র তিনটি বৃত্তির ওপর ভিত্তি করে কাজ করে: একটি গ্র্যাজুয়েট টপ স্কোরার বৃত্তি, একটি এইচএসসি/সমমানের টপ স্কোরার বৃত্তি, এবং একটি এইচএসসি/সমমানের স্কলার বৃত্তি। এছাড়াও এট",llm,True,0.573259926055265,23.51956534385681
30,"How do scholarship, advising, course registration, retakes, and internships work for a student in BA in English?","Students must maintain a minimum GPA of 2.50 on a 4.0 scale in all their classes. Scholarships are subject to renewal based on academic performance and the maintenance of a minimum GPA. Students are required to register for and attend orientation sessions, take the required number of classes each semester, and complete a minimum of 130 credits to graduate. They can request re-take of any course up to three times, and must complete an internship with a local or international organization. Failure to meet these requirements will result in dismissal from the program. For detailed information, refer to the program description or contact the registrar.",slm,False,0.4287884625895965,1.1920928955078125e-05
31,মাস্টার অব লজ (এলএলএম) প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,"Thailand.5. Jahan, MN, (2019),Cyber Bullying: A New Challenge for Bangladesh, presented at the International Conference on Human Rights Violations in Bangladesh, (held on 30-31 July, 2019), organized by Centre for Human Rights, BRAC University, held at the same venue.6. Jahan, MN, (2018),The Role of International Courts in the Promotion of Human Rights: A Comparative Study of Bangladesh and India, presented at the International Conference on Human Rights and the Rule of Law, (held on 1-2 September",slm,False,0.4055772904386237,1.1682510375976562e-05
32,"Does psychological counseling apply to all students, or only to certain groups?","It applies to all students. The policy requires providing necessary guidance and support for health and wellbeing, including psychological counseling and consultation. It applies to all members of the university community, including students. The provision is part of the overall mission to promote physical and mental well-being. For students, it includes offering access to counseling services and ensuring a supportive social and emotional environment. The aim is to help students manage stress, overcome personal challenges, and resolve conflicts in a healthy manner, thus enhancing their academic and personal success. For faculty and staff, the policy mandates providing awareness sessions, resources, and promoting mental well-being. It also requires ensuring confidentiality,",slm,False,0.4908178944008358,9.298324584960938e-06
33,I cannot find a required course during registration for Bachelor of Business Administration (BBA); what should I do and whom should I contact?,"The required course is BUS101: Introduction to Business. Students should contact the proctors or the registrar directly. They should also visit the website for detailed instructions. For any questions, reach out to the Registrar's Office at registrar@ewubd.edu or call +8801755587224. Additionally, they can visit the website at https://www.ewubd.edu. If the information is missing, it is likely a placeholder value or an oversight in the data structure. Students should follow standard academic procedures for resolving course selection issues. Students who need assistance can contact the Proctor’s",slm,False,0.4409910059926863,8.344650268554688e-06
34,MA in Teaching English to Speakers of Other Languages TESOL e scholarship advising course waiver thesis supervision ebong graduation requirement kibhabe kaj kore?,".Baker, C. (2001),Foundation of Bilingual Education and Bilingualism(3rdedition). Multilingual Matters, Bristol.ENG 630:Required Text:Richerson, P.J.(1999),The Evolutionary Dynamics of Language: Cultural Soft Sewing, Cambridge, MA, Harvard University Press, USA.Reference Texts:Ellis, N. (2002),Teaching English as a Second Language, Heinemann, London.Giles, H. (1999),Teaching English as a Second Language, Prentice Hall, London.Spradlin",slm,False,0.4964077773281892,7.152557373046875e-06
35,Can I apply to M. Pharm in Clinical Pharmacy and Molecular Pharmacology if my bachelor's degree is from a different discipline or my CGPA is slightly below the preferred level?,"University Scholarship (2015,2016,2017,2018,2019)Gold Medal in B.Pharm (2017)Best Delegate Award (2017)Best Poster Award (2017)Champion Award (2016)Dean’s List Award (2015)Dean’s List Award (2016)Dean’s List Award (2017)Dean’s List Award (2018)Dean’s List Award (2019)Dean’s List Award (2020)Dean",slm,False,0.4905475415379734,7.867813110351562e-06
36,amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSS in Information Studies e apply korte parbo?,"Na, applicant der sat_waiver er jonno ekta time er moddhe tader hsc/cse ba equivalent exam e minimum GPA 3.5 thakte hobe, jemon Mathematics ar Physics duitatei.",llm,True,0.5009933425218595,6.705456972122192
37,আমার ব্যাচেলর ডিগ্রি অন্য বিষয়ে হলে বা সিজিপিএ পছন্দসই মাত্রার একটু নিচে হলে কি কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিংয়ে মাস্টার অব সায়েন্স (এমএস ইন সিএসই) প্রোগ্রামে আবেদন করতে পারব?,"হ্যাঁ, এমএস ইন সিএসই প্রোগ্রামের জন্য ব্যাচেলর ডিগ্রি অন্য বিষয়ে হওয়া বা সিজিপিএ পছন্দসই মাত্রার একটু নিচে থাকা শিক্ষার্থীদের আবেদন নিয়মিত হয়।",llm,True,0.9998943786198764,18.822361946105957
38,"বিভাগীয় চেয়ারপারসন কি সব শিক্ষার্থীর ক্ষেত্রে প্রযোজ্য, নাকি শুধু নির্দিষ্ট কিছু শিক্ষার্থীর জন্য?","না, এটি শুধুমাত্র নতুন শিক্ষার্থীদের মধ্যে প্রযোজ্য, যার মধ্যে কোনো পূর্ববর্তী শিক্ষার্থী অথবা শিক্ষক নেই।",llm,True,0.6517387716998556,16.12630820274353
39,আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি জেনেটিক ইঞ্জিনিয়ারিং অ্যান্ড বায়োটেকনোলজিতে বিএসসি (জিইবি) প্রোগ্রামে আবেদন করতে পারব?,"না, স্ট্রিং ট্র্যাকিং শ্রেণীবিভাগ বা প্রোগ্রাম নামের সাথে সংশ্লিষ্ট করা কোনো নির্দিষ্ট শর্ত নেই।",llm,True,0.6379060411101287,13.313418626785278
40,"How does a student use, follow, or deal with cafeteria, food, and drinking water?","2023.A review on microbial electrochemical desalination: Challenges and future perspectives.Chemosphere, 330, 126122.(IF: 8.4, Q1)Rahman, S., Sana, A., Al-Mamun, A., and Al-Dughiti, R., 2022.A novel approach to reduce membrane fouling in bioelectrochemical desalination through optimized biocatalysis.Desalination, 537, 117285.(IF: 8.4, Q1)Rahman",slm,False,0.4945690844477263,1.049041748046875e-05
41,"How does a student use, follow, or deal with add, drop, and withdrawal?","The student should follow the Add/Drop Policy, the Drop/Add Policy, and the Withdrawal Policy. For W, it means 'withdraw from a course without passing'. A student can only do this for one course at a time, and it is not allowed to drop a semester or take leave of absence. A W grade is a non-passing grade with 0 points and 0 credits, and it does not affect graduation. It applies to any semester and results in a grade point of 0. A student whose CGPA falls below 2.25 after any semester will be placed on probation for the next two semesters",slm,False,0.4319085451873695,1.71661376953125e-05
42,আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি সমাজবিজ্ঞানে বিএসএস প্রোগ্রামে আবেদন করতে পারব?,"হ্যাঁ, আপনি কোনো বিষয়ের ফল কম থাকলেও আবেদন করতে পারবেন।",llm,True,0.5516577419838633,7.883544445037842
43,আমার মোট ফল ন্যূনতম শর্ত পূরণ করলেও প্রয়োজনীয় কোনো একটি বিষয়ের ফল কম হলে কি ইনফরমেশন স্টাডিজে বিএসএস প্রোগ্রামে আবেদন করতে পারব?,"না, আবেদনকারীদের তাদের স্কুলিং অনুসরণ করে থাকতে হবে, যার মধ্যে রয়েছে সমস্ত বিষয়ের স্কুলিং সম্পূর্ণ হওয়া।",llm,True,0.5734749643165141,14.212242841720581
44,Bachelor of Pharmacy B Pharm er required course registration e na pele ki korbo ebong kar sathe contact korbo?,"Haa, eta shikkharthi ra dui ti semester er moddhe 39 credit niye jete hobe, ar eta shikkharthi ra dui ti semester er moddhe 158 credit niye jete hobe.",llm,True,0.5005936173933916,7.48438024520874
45,Am I eligible for B.Sc. in Computer Science and Engineering (CSE) if my grades meet the minimum overall requirement but one required subject grade is lower?,"No, the minimum GPA requirements apply to each individual subject, and a single required subject having a grade below the specified range makes the applicant ineligible for admission. The required subjects are Mathematics and Physics, both requiring a minimum of a 4.00 on a 4.00 scale. Since any one of these subjects falls below this score, the applicant does not meet the eligibility criteria. For example, a 3.75 in Mathematics would make them ineligible.

If you are admitted into the program, a minimum CGPA of 3.85-3.94 must be maintained in your second and subsequent semesters",slm,False,0.3816800117991233,1.2159347534179688e-05
46,টিচিং ইংলিশ টু স্পিকার্স অব আদার ল্যাঙ্গুয়েজেসে এমএ (টেসল) প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,প্রোগ্রামটি স্পষ্টভাবে বলে যে এই ক্লাস বা সুবিধাজনক সময় পেতে হবে।,llm,True,0.6586287830279354,9.289572954177856
47,"Does department chairpersons apply to all students, or only to certain groups?","The policy applies to all students, regardless of their group classification.",llm,True,0.514772521515213,2.5624654293060303
48,amar overall result minimum requirement meet korleo required kono subjecter result kom hole ki BSc in Electrical and Electronic Engineering EEE e apply korte parbo?,"Na, minimum GPA requirement gulo tader SSC ar HSC result er moddhe thake. 2.75 GPA holo ekta letter grade er jonno 4.00 scale e 60% minimum required. Tader SSC ar HSC duitate minimum GPA 2.75 hote hobe. Shob subject e minimum B hote hobe. Shob subject e B er jonno 4.00 scale e 80% minimum required. SSC ar HSC duitate minimum GPA 2.75 hote hobe. Ei rule shpos",slm,False,0.4837265121728016,1.2159347534179688e-05
49,"How do scholarships, advising, course waivers, thesis supervision, and graduation requirements work in M.Sc. in Cyber Security?","1–6. [Core: A].M. M. Islam, A. Chowdhury, M. A. Islam, M. H. Hoque, M. A. Alam and A. R. A. Sowrov, “An Effective Approach for Detecting Fake News on Social Media,” in Digital Image Computing: Techniques and Applications (DICTA). IEEE, 2022, pp. 1–7. [Core: A].M. M. Islam, M. A. Islam, M. H. Hoque and A. R. A. Sowrov, “An",slm,False,0.4825079952617113,1.0967254638671875e-05
50,ইনফরমেশন অ্যান্ড কমিউনিকেশনস ইঞ্জিনিয়ারিংয়ে বিএসসি (আইসিই) প্রোগ্রামের প্রয়োজনীয় কোনো কোর্স নিবন্ধনের সময় না পেলে কী করব এবং কার সঙ্গে যোগাযোগ করব?,প্রথম সেমিস্টারের প্রথম দিনেই তাদের স্ট্রেইট আউট করতে হবে। তাদের স্ট্রেইট আউট করার জন্য তাদের স্ট্রেইট আউট করার জন্য তাদের স্ট্রেইট আউট করার জন্য তাদের স্ট্রেইট আউট করার জন্য তাদের স্ট্রেইট আউট করার জ,llm,True,0.6426070565361942,24.403880834579468
51,মাস্টার ইন ডেভেলপমেন্ট স্টাডিজ (এমডিএস) প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,"(WASET), United Kingdom.4. Jahan, MN, (2019),An Assessment on the Impact of Internet on Human Rights Violation and Promotion of Terrorist Activities in Bangladesh, presented at the International Conference on Cybercrimes and the Internet of Things, (held on 20-21 January, 2019), organized by Department of Computer Science and Engineering, BRAC University, Dhaka, Bangladesh.5. Jahan, MN, (2019),Female Terrorism in Bangladesh: A Study Based on Criminology and Victimology Theory,presented at the International Conference on",slm,False,0.4381883242421081,1.1205673217773438e-05
52,এক্সিকিউটিভ মাস্টার অব বিজনেস অ্যাডমিনিস্ট্রেশন (ইএমবিএ) প্রোগ্রামের প্রয়োজনীয় কোর্স বা সুবিধাজনক ক্লাস সময় না পেলে কী করব?,প্রোগ্রামটির জন্য স্পষ্টভাবে কোর্স বা সুবিধাজনক ক্লাস সময় নির্দিষ্ট করা হয়নি।,llm,True,0.6303152375665115,10.731045484542847
53,"একজন শিক্ষার্থী ভর্তি পরীক্ষার ধরন ও নম্বর বণ্টন কীভাবে ব্যবহার করবে, অনুসরণ করবে বা সামলাবে?","Access Repositories.Bangladesh Library Review, 44(2), 5-28.Ahmed, Md. Nazmul Hassan, Md. Nazmul Hasan, & Md. Rezwanuzzaman. (2015). The Role of Public Libraries in Promoting Literacy: An Exemplary Case of Bangladesh.Library Philosophy and Practice, 2015(2).Ahsanuzzaman, Md. Nazmul Hasan, & Md. Mohiuddin Ahmed. (2014). Information Needs of the General Public: A Case Study of Bangladesh. InInternational Conference on Information Needs",slm,False,0.4742859160145536,1.1682510375976562e-05
54,Am I eligible for Bachelor of Pharmacy (B.Pharm.) if my grades meet the minimum overall requirement but one required subject grade is lower?,"No, the minimum GPA for each subject (chemistry, biology, physics, mathematics) must be at least 3.50. Since the overall GPA requirement is 8.00, a single subject with a grade below 3.50 will not satisfy the requirement for the B.Pharm. admission. Therefore, the answer is no.",slm,False,0.4209505063702716,4.029273986816406e-05
