_key,judge_score,judge_label,judge_reason,judge_raw
Base (zero-shot)||111||1e0118b502,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||112||0870cc696a,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||113||dfd23b616b,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||114||fe5bb06525,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||115||775648642d,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||116||508c54d6d5,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||117||faedcc4665,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||118||f62d0cacea,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||119||5862f75e96,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||120||11765b021c,0,mostly_incorrect,,"{""score"": 0, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||121||c18e238491,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||122||21651352df,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||123||4e79c22f49,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||124||af3f0c885c,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||125||1c055356ec,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||126||c614f0c21f,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||127||1d8b6047fb,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||128||716e4fce91,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||129||239fde9fd0,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||130||28b1807d52,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||131||80c6efef6c,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||132||bb6d767ff6,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||133||7a6fc0727f,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||134||39d16e5390,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||135||bbf015784b,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||136||79b40f54fd,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||137||f625cacd56,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||138||6726ed67e3,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||139||349464df8e,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||140||b78184612a,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||141||2a0b8401b7,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||142||f5c61891b5,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||143||4125cf1639,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||144||78953096e4,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||145||e668c0dac3,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||146||07bc746440,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||147||8c217d2c81,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||148||948c62184b,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||149||5fe82f2b7b,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||150||1dad3a3baa,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||151||a5285efea4,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||152||71cd0b4b65,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||153||f27cac953b,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||154||b3070609c5,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||155||b19c65186a,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||156||bb0c095c9e,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||157||6c1baf1428,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||158||cc395aec4f,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||159||138fc715c9,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||160||ecd3ca4cf1,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||161||2599961c32,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||162||b2802ef6d1,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||163||7a582b984f,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||164||1e5066023b,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||165||b379037d34,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||166||60018b411b,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||167||a245a6ebe6,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||168||3a1d865869,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||169||3b3dc20c62,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||170||40eb19eeaa,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||171||38f22c2cd2,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||172||8d162f7c83,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||173||4dcf6b11ca,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||174||d61fa744b5,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||175||1d6150ae41,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||176||29fe00c361,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||177||4be6a3cfec,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||178||77b28a18f1,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||179||3c1cdde347,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||180||a4b3cf2830,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||181||3a5094a9f0,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||182||b563723d69,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||183||973f9b9261,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||184||e2e3757871,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||185||a1b4c7c54c,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||186||cbb9203f22,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||187||8ea8524eaa,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||188||7024421970,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||189||bfec5e08db,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||190||57c28873a1,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||191||3681d6b05a,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||192||985406a437,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||193||b47b0d724a,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||194||6b63abccf2,0,mostly_incorrect,,"{""score"": 0, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||195||4b1dd02c2c,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||196||22595ae09a,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||197||18b707e962,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||198||a886b40c84,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||199||7b6ada6ec8,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||200||c4fb045c1c,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||201||967868b608,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||202||b061555c4d,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||203||677d0db8f8,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||204||3d7c66ed37,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||205||3b977b858f,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||206||e5236468e0,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||207||2a201b0fe8,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||208||e793437a11,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||209||d9c65ca079,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||210||0b9dae4ef2,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||211||0755232b8c,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||212||dddfbd50b6,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||213||0f0702d70c,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||214||b2511c217f,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||215||24810aa8f5,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||216||ca8b40fbdc,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||217||77aa64eb1b,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||218||6437989791,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||219||5b233fe782,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||220||847df4e91e,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||221||c75898c0cc,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||222||2733532c38,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||223||9684509992,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||224||8254c74fae,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||225||be1e9316c9,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||226||3a3f9fea2b,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||227||f22b722a84,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||228||91035c0246,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||229||972464583d,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||230||469bcd6555,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||231||72c05c4318,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||232||bd085f17d4,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||233||81a4c3fcca,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||234||32c0b0bbd2,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||235||968a2cef79,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||236||6512f7944b,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||237||273c2a04bd,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||238||7bcfba048e,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||239||941706e4a2,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||240||c6d7451733,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||241||8a5ae25be9,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||242||b01b44ab8b,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||243||94669d5ac9,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||244||315c4c1ee3,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||245||ea2b4befb3,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||246||dee17230a4,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||247||6b9a9dc0db,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||248||8276e9d3af,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||249||ff034d3d2f,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||250||6e22d25660,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||251||57be883e69,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||252||5abf2e61a5,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||253||1556c81c99,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||254||d679b89607,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||255||02dcf36b52,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||256||e55592a711,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||257||f1386a0443,1,partially_correct,,"{""score"": 1, ""label"": ""partially_correct""}"
Base (zero-shot)||258||f1e48cb83a,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
