_key,judge_score,judge_label,judge_reason,judge_raw
Base (zero-shot)||41||0c42f05da8,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||42||dbc391150d,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||43||75ac185202,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||44||4991a97a65,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||45||0273ed5e3c,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||46||60004f665f,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||47||a808f58d72,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||48||1df6898054,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||49||9a4af5d840,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}

Explanation:
- The response correctly mentions that scholarships, advising, and course waivers are available, which aligns with"
Base (zero-shot)||50||051267b90b,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||51||101d96457a,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||52||9f5ab1e3c9,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||53||b627f67881,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||54||9331d7f7de,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||55||c0d6014e79,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||56||1e1b477054,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||57||215407856b,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||58||7f2da8e5a3,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||59||715dbf99f5,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||60||dea52b3b46,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||61||5914293783,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||62||735b5b7004,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||63||9d1b0fdca5,1,mostly_incorrect,,"{""score"": 1, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||64||ad5776b31b,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||65||aa321fc02b,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||66||86e6daa390,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||67||cadf59da06,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||68||d46c271b12,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||69||eab83dc523,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||70||dd9d684d68,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||71||72dbea2730,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||72||feee26a83c,1,mostly_incorrect,,"{""score"": 1, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||73||d126f4cac7,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||74||009091b511,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||75||4c31bef04f,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||76||286a50973d,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||77||0476de7d97,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||78||47c67b4a99,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||79||d9beaba02f,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||80||2ab00efb41,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||81||a408673baa,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||82||976bb46a94,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||83||692db0e827,1,mostly_incorrect,,"{""score"": 1, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||84||3530929ab7,1,mostly_incorrect,,"{""score"": 1, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||85||d886090863,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||86||9987a01566,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||87||f116406fd6,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||88||3caae7a724,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||89||8fa6d49137,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||90||55bb726b65,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||91||990e5fd090,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||92||a2cf22538c,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||93||1d670e1813,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||94||bd07b6cdb1,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||95||f027e21f85,1,mostly_incorrect,,"{""score"": 1, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||96||7d83d74bb7,1,mostly_incorrect,,"{""score"": 1, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||97||a5d492c5e3,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||98||807ad4d087,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||99||d01eeeb004,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||100||59d59e78db,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||101||9cd79802eb,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||102||5ce28667bf,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||103||60e83bc6de,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||104||950da5001a,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||105||8c344d06c6,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||106||1c704f7b24,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||107||9c02f883d6,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||108||d8cef130bd,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||109||74b0054a0b,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||110||08241970a5,1,mostly_incorrect,,"{""score"": 1, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||111||e8ca304569,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||112||27096210bc,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||113||e748076258,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||114||54da1fc611,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||115||5a0d588563,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||116||3c6ce9dd94,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||117||fb54ad90e9,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||118||1a68b2738c,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||119||4cda5ba0e1,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||120||e418849382,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||121||db490b0159,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||122||1e847e48c3,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||123||386c8757bd,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||124||bd1bc6631a,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||125||cf4b3c10d4,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||126||0ea6faf712,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||127||34b9bb5f4b,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||128||07083f96e8,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||129||7db5f72e0f,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||130||7de8faa2ea,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||131||838ec56175,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||132||4b1e9acec1,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||133||f3bfa6d80e,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||134||c9330fc36d,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||135||15392a4d86,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||136||3b90d489bf,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||137||7e3efd7ab4,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||138||6da5fa1c3d,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||139||61715e2d1e,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||140||c6c4f04f46,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||141||13485e414d,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||142||5066ccc5c7,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||143||a228db7789,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||144||a6b684709a,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||145||5b68e34483,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||146||8647559973,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||147||eadcd457d7,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||148||2b75590231,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||149||8a0629b038,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||150||b4fc4c73f9,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||151||ce8231a591,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||152||1cd5d3391e,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||153||422ded5de2,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||154||d23f1897ae,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||155||3179a20310,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||156||0c92a7c4a1,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||157||04d172dcea,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||158||feaf741902,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||159||25876491d5,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||160||4abb2d1e24,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||161||dbf0ba9117,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||162||920af1a48d,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||163||51351a72f3,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||164||cab2c74f51,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||165||956ee9bb16,1,mostly_incorrect,,"{""score"": 1, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||166||0f49c46431,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||167||57ff28ff51,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||168||1e7546d1e6,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||169||9131c78480,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||170||e32d6ba388,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||171||946f41f66d,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||172||4d109e6f3e,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||173||b7484307a1,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||174||a87f4f9497,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||175||8ab5e86109,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||176||24451309f2,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||177||366658d932,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||178||3bac2c3970,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||179||c040674374,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||180||c83eb7dd8b,1,mostly_incorrect,,"{""score"": 1, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||181||1a77d2ff94,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||182||e74ee0c3be,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||183||0035d68872,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||184||6c44ad8b35,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||185||23fbabdeec,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||186||4356cc690c,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||187||0f8f35f162,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||188||1b5c31ee90,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||189||a201d6b33e,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||190||21f6c93f16,1,mostly_incorrect,,"{""score"": 1, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||191||2af59e232d,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||192||f94d74eb36,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||193||8ca573c75c,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||194||2af2d11dd0,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||195||6b099832f8,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||196||6f56d83337,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||197||037417ebd9,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||198||8025a12845,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||199||7f866a4214,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||200||e8d3c01408,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||201||1eca806662,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||202||9493ad8c7d,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||203||c13c7e3521,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||204||b54ed029a3,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||205||81a4c72ea1,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||206||1214363856,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||207||8b9719da4e,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||208||8b9c26d6ff,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||209||7e1100740d,1,mostly_incorrect,,"{""score"": 1, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||210||5658846503,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||211||06a9e23550,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||212||b0b9ae5c33,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||213||022c1fb404,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||214||0abbc0fbaf,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||215||c5578d1d6c,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||216||899445d734,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||217||d1e24ec0d1,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||218||b630c0dce7,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||219||a95ae4bd80,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||220||4a8e4cd68c,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||221||fd31db6719,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||222||08de14d8ec,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||223||16909fe600,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||224||927f3ce0df,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||225||034904ec21,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||226||ca031b7740,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||227||9d9060b60d,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||228||7c100f63a6,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||229||5673dc4af7,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||230||e622f23a27,4,fully_correct,,"{""score"": 4, ""label"": ""fully_correct""}"
Base (zero-shot)||231||9cc027351d,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||232||b1bca01639,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||233||bcc351f14f,1,mostly_incorrect,,"{""score"": 1, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||234||2381f82bc7,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||235||a88f100f02,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||236||62a8b84574,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||237||efdcd7dfda,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||238||05a650cb4c,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||239||22c2743f67,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||240||0ed9e93005,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||241||b38ba20684,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||242||19ad8dbc67,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||243||73df56ceb9,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||244||d6d0c428bf,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||245||59da02cdd4,1,mostly_incorrect,,"{""score"": 1, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||246||19ae316b45,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||247||5d4153f176,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||248||baf14b2de9,0,incorrect,,"{""score"": 0, ""label"": ""incorrect""}"
Base (zero-shot)||249||c13357d873,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||250||afc71ce0b6,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||251||fa6759bf6f,3,mostly_correct,,"{""score"": 3, ""label"": ""mostly_correct""}"
Base (zero-shot)||252||16c53abf56,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
Base (zero-shot)||253||e8f7cfacd9,1,mostly_incorrect,,"{""score"": 1, ""label"": ""mostly_incorrect""}"
Base (zero-shot)||254||79183d8e44,2,partially_correct,,"{""score"": 2, ""label"": ""partially_correct""}"
